Flooring,ViewYN,PoolPrivateYN,ListingKey,CloseDate,ClosePrice,Latitude,Longitude,LivingArea,DaysOnMarket,ListingKeyNumeric,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,StateOrProvince,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,Dataset
85.0,1,0,1119102418,2025-11-01,689900.0,37.99081524,-121.77086559,2159.0,90,1119102418,894.0,6.0,1,3.0,1985.0,3.0,29.0,3.0,1.0,1,2.0,12.0,0.0,0,3.0,364.0,971.0,80.0,7918.0,Train
221.0,1,1,1119994035,2025-11-01,958888.0,33.875638,-117.630984,2363.0,60,1119994035,109.0,34.0,1,3.0,1988.0,3.0,173.0,4.0,1.0,1,2.0,12.0,1.0,0,3.0,75.0,614.0,0.0,5227.0,Train
216.0,1,0,1135765815,2025-11-01,2600000.0,33.666984,-118.011221,3268.0,24,1135765815,40.0,29.0,1,2.0,1990.0,4.0,335.0,4.0,1.0,1,1.0,9.0,0.0,0,2.0,146.0,550.0,0.0,2876.0,Train
135.0,1,0,1126061534,2025-11-01,2325000.0,33.741471999999995,-117.78708,2907.0,55,1126061534,295.0,29.0,1,6.0,1993.0,3.0,816.0,5.0,1.0,1,2.0,12.0,1.0,0,3.0,362.0,583.0,100.0,6900.0,Train
224.0,0,0,1145444761,2025-11-01,1650000.0,37.27595932,-121.91061239,1571.0,0,1145444761,275.0,44.0,0,2.0,1960.0,2.0,700.0,4.0,1.0,1,1.0,2.0,0.0,0,2.0,308.0,1296.0,0.0,6360.0,Train
220.0,1,0,1125618224,2025-11-01,2378000.0,33.955252,-118.445999,2619.0,31,1125618224,456.0,18.0,1,2.0,1955.0,3.0,619.0,3.0,1.0,0,2.0,12.0,0.0,0,2.0,364.0,98.0,0.0,6153.0,Train
221.0,1,0,1119038187,2025-11-01,385000.0,34.444024,-117.192685,1302.0,21,1119038187,406.0,37.0,1,2.0,1985.0,2.0,31.0,3.0,1.0,1,1.0,2.0,3.0,0,2.0,15.0,430.0,0.0,19760.0,Train
221.0,1,1,1136871238,2025-11-01,2000000.0,32.946262,-117.03146,3217.0,7,1136871238,348.0,38.0,1,3.0,1990.0,4.0,634.0,4.0,1.0,1,2.0,12.0,0.0,0,3.0,282.0,346.0,0.0,66211.2,Train
220.0,1,0,1136782936,2025-11-01,1035000.0,33.838836,-117.857829,2150.0,14,1136782936,822.0,29.0,1,2.0,2008.0,4.0,561.0,4.0,1.0,1,2.0,12.0,0.0,0,2.0,247.0,604.0,105.0,3285.0,Train
221.0,0,0,1130175709,2025-11-01,1125000.0,32.81429359,-117.1925192,1500.0,34,1130175709,373.0,38.0,1,4.0,1959.0,2.0,694.0,3.0,1.0,0,1.0,2.0,0.0,0,2.0,364.0,371.0,0.0,7000.0,Train
171.0,0,0,1128507227,2025-11-02,400000.0,33.680995,-116.162164,1220.0,72,1128507227,150.0,34.0,0,4.0,1963.0,1.0,160.0,3.0,1.0,0,1.0,18.0,0.0,0,0.0,364.0,404.0,0.0,7841.0,Train
221.0,0,0,1119789700,2025-11-02,742000.0,33.919613,-118.069129,1511.0,55,1119789700,681.0,18.0,0,0.0,1955.0,1.0,544.0,3.0,1.0,0,1.0,2.0,3.0,0,0.0,386.0,127.0,0.0,5303.0,Train
221.0,1,0,1136952909,2025-11-03,399500.0,33.757142,-116.962191,1301.0,6,1136952909,860.0,34.0,1,2.0,1973.0,2.0,316.0,4.0,1.0,1,1.0,2.0,4.0,0,2.0,141.0,505.0,0.0,7841.0,Train
64.0,1,0,1135670215,2025-11-03,979000.0,33.746899,-117.627472,2747.0,0,1135670215,839.0,29.0,0,1.0,1932.0,3.0,754.0,3.0,1.0,1,2.0,12.0,1.0,0,1.0,247.0,564.0,0.0,17500.0,Train
131.0,1,1,1135670748,2025-11-03,3122000.0,33.821352000000005,-117.801879,4469.0,24,1135670748,280.0,29.0,1,7.0,1973.0,6.0,840.0,6.0,1.0,1,2.0,12.0,5.0,0,7.0,247.0,603.0,0.0,33444.0,Train
220.0,1,0,1135114138,2025-11-03,795000.0,33.947876,-118.125254,1302.0,20,1135114138,500.0,18.0,0,1.0,1940.0,1.0,216.0,2.0,1.0,1,1.0,2.0,2.0,0,1.0,93.0,75.0,0.0,5233.0,Train
134.0,0,0,1136688990,2025-11-03,1015000.0,37.92598612,-122.08129697,1588.0,12,1136688990,894.0,6.0,1,2.0,1954.0,2.0,845.0,3.0,1.0,1,1.0,2.0,0.0,0,2.0,364.0,1140.0,0.0,10509.0,Train
220.0,1,0,1136888517,2025-11-03,1720000.0,37.26081301,-121.91246913,1357.0,8,1136888517,275.0,44.0,0,4.0,1959.0,2.0,700.0,3.0,1.0,1,1.0,2.0,0.0,0,2.0,253.0,1296.0,0.0,7320.0,Train
221.0,1,0,1136875159,2025-11-03,1300000.0,32.63650719,-116.99035665,2916.0,8,1136875159,304.0,38.0,1,4.0,2001.0,3.0,150.0,4.0,1.0,0,2.0,12.0,0.0,0,2.0,364.0,302.0,89.0,8374.0,Train
192.0,1,0,1136875526,2025-11-03,1239000.0,32.75528419,-116.96676967,2452.0,9,1136875526,313.0,38.0,0,4.0,1956.0,2.0,375.0,5.0,1.0,1,1.0,2.0,0.0,0,0.0,364.0,311.0,0.0,15200.0,Train
